concentration,rate,state
0.8181934659634065,189.57896293358192,treated
0.10268484096998189,122.11857659655901,treated
0.4390831006118766,163.00805499837728,treated
0.4228799922427742,183.80054860097448,treated
0.1338747156559075,125.12363398147177,treated
0.9741029664848557,193.24821029638608,treated
0.812495515181875,193.5006535274557,treated
0.8270537996143559,205.8266319309655,treated
0.1999734434827551,179.88592528570229,treated
0.5618304981983826,198.2969382243841,treated
0.25896774619254564,171.38391106695812,treated
0.461719889455263,192.97769859063857,treated
0.4596107125247009,188.13083155860488,treated
0.32489248569392876,181.33016197850952,treated
0.20698717890537854,165.96170386632375,treated
0.8093010883087296,209.8490614565226,treated
0.4748138252024106,176.51217608702046,treated
0.9788073489737809,196.95499717108407,treated
0.55139262159984,200.6025177793292,treated
0.7783060902873993,195.391744092851,treated
0.8677532130624839,215.934441241856,treated
0.8573197198974415,203.78683183190213,treated
0.48073222068333055,184.39465383237885,treated
0.9804498723282935,201.45211972450326,treated
0.7514379448659498,191.31514311034053,treated
0.2445097469329505,159.47878592457758,treated
0.3092750893338469,163.66174476685893,treated
0.645302678382632,194.62994444555213,treated
0.5179766935012045,193.1647240038652,treated
0.9503877969703612,197.9659005773852,treated
0.2831925666855852,176.0089827362929,treated
0.9994078702172823,199.35509227857352,treated
0.48465825228178466,195.44309766232467,treated
0.8670227532738973,200.85071052287282,treated
0.6866793685946775,194.48668631770408,treated
0.4078724364978242,182.50689562464478,treated
0.07301459805028625,114.41879829494657,treated
0.18508988567260135,162.05258473612324,treated
0.30358348754143033,177.85255382466977,treated
0.48396349713217945,172.4921565786998,treated
0.9217789376936153,197.1785216848548,treated
0.5800233826831348,187.68301356875926,treated
0.20654508317771436,160.8392261166194,treated
0.6657478693558184,184.80491654377875,treated
0.8589937465171299,195.84269983525456,treated
0.70636330845547,191.4937661225317,treated
0.32333871228607775,174.6020712996125,treated
0.43888559254866844,189.48763860102423,treated
0.4989075122504006,190.75336941498279,treated
0.06870762529139589,121.46442065620352,treated
0.40281316390342736,175.9014662736171,treated
0.05972430799638621,97.22388902399746,treated
0.9151458495702512,194.40276674539206,treated
0.203086739611367,157.42491342719964,treated
0.29013989209530794,159.08114305012458,treated
0.07802555106079336,105.5808062549845,treated
0.048884857824320754,87.162745580875,treated
0.5773665480328473,175.07550627835812,treated
0.2695758173210475,161.98266995485008,treated
0.2911575005498815,171.01627390132654,treated
0.7485269036146254,190.03225375012943,treated
0.7976057353258053,187.7943452822017,treated
0.7207637302954948,191.3534868471731,treated
0.9879226495469415,199.79804657265524,treated
