Date Open High Low Close AdjClose Volume
2000-01-04 6000.0 6110.0 5660.0 6110.0 4623.467773 74195000
2000-01-05 5800.0 6060.0 5520.0 5580.0 4222.414063 74680000
2000-01-06 5750.0 5780.0 5580.0 5620.0 4252.682129 54390000
2000-01-07 5560.0 5670.0 5360.0 5540.0 4192.147949 40305000
2000-01-10 5600.0 5770.0 5580.0 5770.0 4366.187012 46880000
2000-01-11 5820.0 6100.0 5770.0 5770.0 4366.187012 59745000
2000-01-12 5610.0 5740.0 5600.0 5720.0 4328.352051 29220000
2000-01-13 5600.0 5740.0 5560.0 5710.0 4320.786133 41190000
2000-01-14 5720.0 5880.0 5680.0 5830.0 4411.589355 49375000
2000-01-17 6000.0 6180.0 5920.0 6100.0 4615.900879 63505000
2000-01-18 6160.0 6160.0 5980.0 6100.0 4615.900879 45260000
2000-01-19 6000.0 6040.0 5960.0 5960.0 4509.962891 40205000
2000-01-20 5860.0 6040.0 5820.0 6040.0 4570.498047 37315000
2000-01-21 5950.0 5980.0 5880.0 5880.0 4449.425781 32535000
2000-01-24 5800.0 5900.0 5700.0 5700.0 4313.218262 34355000
2000-01-25 5520.0 5640.0 5440.0 5440.0 4116.474609 44250000
2000-01-26 5500.0 5520.0 5410.0 5480.0 4146.743652 29285000
2000-01-27 5480.0 5620.0 5430.0 5520.0 4177.010742 27900000
2000-01-28 5640.0 5880.0 5540.0 5820.0 4404.022949 38315000
2000-01-31 5640.0 5730.0 5560.0 5580.0 4222.414063 39630000
2000-02-01 5600.0 5680.0 5260.0 5320.0 4025.67041 71470000
2000-02-02 5220.0 5370.0 5110.0 5250.0 3972.700195 64105000
2000-02-03 5250.0 5460.0 4970.0 5130.0 3881.895996 142765000
2000-02-04 5130.0 5130.0 5130.0 5130.0 3881.895996 0
2000-02-07 5140.0 5330.0 5040.0 5240.0 3965.133545 64140000
2000-02-08 5340.0 5480.0 5310.0 5430.0 4108.906738 58460000
2000-02-09 5560.0 5720.0 5480.0 5720.0 4328.352051 51050000
2000-02-10 5660.0 5880.0 5600.0 5760.0 4358.621094 61845000
2000-02-11 5960.0 5960.0 5680.0 5700.0 4313.218262 34660000
2000-02-14 5600.0 5660.0 5340.0 5380.0 4071.073242 44140000
2000-02-15 5380.0 5420.0 5140.0 5200.0 3934.867188 38315000
2000-02-16 5180.0 5200.0 4780.0 5000.0 3783.525391 73115000
2000-02-17 4940.0 5100.0 4910.0 5080.0 3844.061035 65185000
2000-02-18 5370.0 5630.0 5160.0 5300.0 4010.536377 108750000
